Entity,Code,Year,Low-carbon energy (TWh growth – sub method)
Argentina,ARG,1974,8.531
Argentina,ARG,1975,4.608
Argentina,ARG,1976,-0.383
Argentina,ARG,1977,-0.495
Argentina,ARG,1978,9.015
Argentina,ARG,1979,7.595
Argentina,ARG,1980,11.483
Argentina,ARG,1981,0.015
Argentina,ARG,1982,5.509
Argentina,ARG,1983,6.673
Argentina,ARG,1984,7.381
Argentina,ARG,1985,5.269
Argentina,ARG,1986,0.866
Argentina,ARG,1987,4.409
Argentina,ARG,1988,-20.728
Argentina,ARG,1989,-7.858
Argentina,ARG,1990,19.834
Argentina,ARG,1991,-3.298
Argentina,ARG,1992,8.015
Argentina,ARG,1993,12.364
Argentina,ARG,1994,13.65
Argentina,ARG,1995,-1.909
Argentina,ARG,1996,-5.207
Argentina,ARG,1997,21.35
Argentina,ARG,1998,-3
Argentina,ARG,1999,-16.805
Argentina,ARG,2000,18.332
Argentina,ARG,2001,23.272
Argentina,ARG,2002,-4.748
Argentina,ARG,2003,-2.138
Argentina,ARG,2004,-10.285
Argentina,ARG,2005,7.646
Argentina,ARG,2006,14.202
Argentina,ARG,2007,-17.752
Argentina,ARG,2008,-1.571
Argentina,ARG,2009,10.796
Argentina,ARG,2010,2.695
Argentina,ARG,2011,-1.925
Argentina,ARG,2012,-4.218
Argentina,ARG,2013,9.999
Argentina,ARG,2014,-0.029
Argentina,ARG,2015,6.812
Argentina,ARG,2016,-6.701
Argentina,ARG,2017,5.665
Argentina,ARG,2018,3.12
Argentina,ARG,2019,2.788
Australia,AUS,1966,-0.991
Australia,AUS,1967,0.741
Australia,AUS,1968,0.935
Australia,AUS,1969,2.035
Australia,AUS,1970,4.074
Australia,AUS,1971,3.719
Australia,AUS,1972,0.175
Australia,AUS,1973,2.196
Australia,AUS,1974,4.664
Australia,AUS,1975,2.983
Australia,AUS,1976,-2.053
Australia,AUS,1977,-1.847
Australia,AUS,1978,3.076
Australia,AUS,1979,-1.156
Australia,AUS,1980,-2.257
Australia,AUS,1981,1.163
Australia,AUS,1982,-2.733
Australia,AUS,1983,-2.032
Australia,AUS,1984,2.812
Australia,AUS,1985,2.304
Australia,AUS,1986,0.248
Australia,AUS,1987,-1.117
Australia,AUS,1988,2.727
Australia,AUS,1989,-0.005
Australia,AUS,1990,1.265
Australia,AUS,1991,2.387
Australia,AUS,1992,0.681
Australia,AUS,1993,1.25
Australia,AUS,1994,-0.567
Australia,AUS,1995,-1.069
Australia,AUS,1996,1.286
Australia,AUS,1997,0.111
Australia,AUS,1998,-0.153
Australia,AUS,1999,1.572
Australia,AUS,2000,0.106
Australia,AUS,2001,-1.074
Australia,AUS,2002,1.589
Australia,AUS,2003,1.635
Australia,AUS,2004,1.572
Australia,AUS,2005,3.379
Australia,AUS,2006,1.631
Australia,AUS,2007,0.058
Australia,AUS,2008,1.592
Australia,AUS,2009,6.484
Australia,AUS,2010,11.336
Australia,AUS,2011,22.664
Australia,AUS,2012,-3.601
Australia,AUS,2013,12.051
Australia,AUS,2014,-8.293
Australia,AUS,2015,5.714
Australia,AUS,2016,12.317
Australia,AUS,2017,-5.479
Australia,AUS,2018,26.839
Australia,AUS,2019,13.404
Austria,AUT,1966,3.467
Austria,AUT,1967,1.019
Austria,AUT,1968,1.353
Austria,AUT,1969,-4.075
Austria,AUT,1970,12.699
Austria,AUT,1971,-12.416
Austria,AUT,1972,1.299
Austria,AUT,1973,5.338
Austria,AUT,1974,9.731
Austria,AUT,1975,3.008
Austria,AUT,1976,-8.971
Austria,AUT,1977,12.098
Austria,AUT,1978,0.056
Austria,AUT,1979,8.767
Austria,AUT,1980,2.814
Austria,AUT,1981,4.826
Austria,AUT,1982,0.136
Austria,AUT,1983,-0.806
Austria,AUT,1984,-10.435
Austria,AUT,1985,10.904
Austria,AUT,1986,3.934
Austria,AUT,1987,11.396
Austria,AUT,1988,0.159
Austria,AUT,1989,-0.456
Austria,AUT,1990,-9.747
Austria,AUT,1991,0.057
Austria,AUT,1992,9.754
Austria,AUT,1993,5.264
Austria,AUT,1994,-3.221
Austria,AUT,1995,5.634
Austria,AUT,1996,-8.655
Austria,AUT,1997,5.655
Austria,AUT,1998,3.377
Austria,AUT,1999,9.183
Austria,AUT,2000,3.028
Austria,AUT,2001,-3.883
Austria,AUT,2002,-1.68
Austria,AUT,2003,-18.85
Austria,AUT,2004,11.455
Austria,AUT,2005,3.03
Austria,AUT,2006,1.183
Austria,AUT,2007,6.551
Austria,AUT,2008,4.116
Austria,AUT,2009,7.141
Austria,AUT,2010,-6.641
Austria,AUT,2011,-11.346
Austria,AUT,2012,25.944
Austria,AUT,2013,-3.564
Austria,AUT,2014,-0.611
Austria,AUT,2015,-6.202
Austria,AUT,2016,6.85
Austria,AUT,2017,-1.098
Austria,AUT,2018,-3.219
Austria,AUT,2019,10.388
Azerbaijan,AZE,1986,-1.412
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,-0.295
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,2.666
Azerbaijan,AZE,1991,0.281
Azerbaijan,AZE,1992,-0.033
Azerbaijan,AZE,1993,1.885
Azerbaijan,AZE,1994,-1.656
Azerbaijan,AZE,1995,-0.761
Azerbaijan,AZE,1996,-0.053
Azerbaijan,AZE,1997,0.486
Azerbaijan,AZE,1998,0.664
Azerbaijan,AZE,1999,-1.236
Azerbaijan,AZE,2000,0.078
Azerbaijan,AZE,2001,-0.671
Azerbaijan,AZE,2002,1.948
Azerbaijan,AZE,2003,1.19
Azerbaijan,AZE,2004,0.729
Azerbaijan,AZE,2005,0.637
Azerbaijan,AZE,2006,-1.364
Azerbaijan,AZE,2007,-0.451
Azerbaijan,AZE,2008,-0.387
Azerbaijan,AZE,2009,0.17
Azerbaijan,AZE,2010,2.926
Azerbaijan,AZE,2011,-2.053
Azerbaijan,AZE,2012,-2.244
Azerbaijan,AZE,2013,-0.702
Azerbaijan,AZE,2014,-0.446
Azerbaijan,AZE,2015,0.853
Azerbaijan,AZE,2016,0.897
Azerbaijan,AZE,2017,-0.566
Azerbaijan,AZE,2018,0.17
Azerbaijan,AZE,2019,-0.38
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0.486
Bangladesh,BGD,1973,0.433
Bangladesh,BGD,1974,-0.244
Bangladesh,BGD,1975,0.536
Bangladesh,BGD,1976,0.161
Bangladesh,BGD,1977,-0.158
Bangladesh,BGD,1978,0.192
Bangladesh,BGD,1979,0.225
Bangladesh,BGD,1980,-0.011
Bangladesh,BGD,1981,0.117
Bangladesh,BGD,1982,-0.283
Bangladesh,BGD,1983,0.386
Bangladesh,BGD,1984,0.653
Bangladesh,BGD,1985,-0.439
Bangladesh,BGD,1986,-0.803
Bangladesh,BGD,1987,0.186
Bangladesh,BGD,1988,0.439
Bangladesh,BGD,1989,0.681
Bangladesh,BGD,1990,-0.1
Bangladesh,BGD,1991,-0.128
Bangladesh,BGD,1992,-0.117
Bangladesh,BGD,1993,-0.522
Bangladesh,BGD,1994,0.664
Bangladesh,BGD,1995,-1.319
Bangladesh,BGD,1996,1.019
Bangladesh,BGD,1997,-0.056
Bangladesh,BGD,1998,0.406
Bangladesh,BGD,1999,-0.089
Bangladesh,BGD,2000,-0.233
Bangladesh,BGD,2001,0.66
Bangladesh,BGD,2002,-0.686
Bangladesh,BGD,2003,-0.011
Bangladesh,BGD,2004,-0.01
Bangladesh,BGD,2005,-0.009
Bangladesh,BGD,2006,-0.003
Bangladesh,BGD,2007,-0.003
Bangladesh,BGD,2008,0.538
Bangladesh,BGD,2009,-1.38
Bangladesh,BGD,2010,0.859
Bangladesh,BGD,2011,0.397
Bangladesh,BGD,2012,-0.173
Bangladesh,BGD,2013,-0.037
Bangladesh,BGD,2014,-0.328
Bangladesh,BGD,2015,0.91
Bangladesh,BGD,2016,-0.013
Bangladesh,BGD,2017,0.5
Bangladesh,BGD,2018,-0.369
Bangladesh,BGD,2019,0.189
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,-0.006
Belarus,BLR,1992,-0.003
Belarus,BLR,1993,0.006
Belarus,BLR,1994,0
Belarus,BLR,1995,0.003
Belarus,BLR,1996,-0.011
Belarus,BLR,1997,0.014
Belarus,BLR,1998,0.019
Belarus,BLR,1999,-0.025
Belarus,BLR,2000,0.022
Belarus,BLR,2001,0.008
Belarus,BLR,2002,-0.003
Belarus,BLR,2003,-0.003
Belarus,BLR,2004,0.016
Belarus,BLR,2005,0.007
Belarus,BLR,2006,0.002
Belarus,BLR,2007,0.031
Belarus,BLR,2008,0.06
Belarus,BLR,2009,0.085
Belarus,BLR,2010,0.061
Belarus,BLR,2011,0.026
Belarus,BLR,2012,0.08
Belarus,BLR,2013,0.139
Belarus,BLR,2014,-0.048
Belarus,BLR,2015,0.103
Belarus,BLR,2016,0.202
Belarus,BLR,2017,0.9
Belarus,BLR,2018,-0.127
Belarus,BLR,2019,0.029
Belgium,BEL,1966,0.092
Belgium,BEL,1967,0.075
Belgium,BEL,1968,-0.075
Belgium,BEL,1969,-0.147
Belgium,BEL,1970,0.142
Belgium,BEL,1971,-0.469
Belgium,BEL,1972,0.158
Belgium,BEL,1973,0.478
Belgium,BEL,1974,0.369
Belgium,BEL,1975,18.206
Belgium,BEL,1976,8.756
Belgium,BEL,1977,6.133
Belgium,BEL,1978,1.628
Belgium,BEL,1979,-2.889
Belgium,BEL,1980,3.253
Belgium,BEL,1981,1.122
Belgium,BEL,1982,6.978
Belgium,BEL,1983,23.392
Belgium,BEL,1984,10.15
Belgium,BEL,1985,18.953
Belgium,BEL,1986,13.653
Belgium,BEL,1987,7.467
Belgium,BEL,1988,3.069
Belgium,BEL,1989,-5.358
Belgium,BEL,1990,4.325
Belgium,BEL,1991,0.333
Belgium,BEL,1992,1.878
Belgium,BEL,1993,-4.553
Belgium,BEL,1994,-3.361
Belgium,BEL,1995,2.222
Belgium,BEL,1996,5.203
Belgium,BEL,1997,11.386
Belgium,BEL,1998,-2.978
Belgium,BEL,1999,8.175
Belgium,BEL,2000,-1.85
Belgium,BEL,2001,-5.792
Belgium,BEL,2002,2.1
Belgium,BEL,2003,-0.654
Belgium,BEL,2004,-0.199
Belgium,BEL,2005,1.563
Belgium,BEL,2006,-1.119
Belgium,BEL,2007,4.792
Belgium,BEL,2008,-5.412
Belgium,BEL,2009,7.741
Belgium,BEL,2010,6.421
Belgium,BEL,2011,4.718
Belgium,BEL,2012,-16.028
Belgium,BEL,2013,8.292
Belgium,BEL,2014,-21.272
Belgium,BEL,2015,-16.051
Belgium,BEL,2016,44.854
Belgium,BEL,2017,0.125
Belgium,BEL,2018,-31.58
Belgium,BEL,2019,41.455
Brazil,BRA,1966,6.642
Brazil,BRA,1967,3.564
Brazil,BRA,1968,3.781
Brazil,BRA,1969,5.95
Brazil,BRA,1970,21.177
Brazil,BRA,1971,9.769
Brazil,BRA,1972,21.014
Brazil,BRA,1973,20.12
Brazil,BRA,1974,21.732
Brazil,BRA,1975,18.583
Brazil,BRA,1976,29.509
Brazil,BRA,1977,30.054
Brazil,BRA,1978,26.336
Brazil,BRA,1979,39.661
Brazil,BRA,1980,34.324
Brazil,BRA,1981,5.35
Brazil,BRA,1982,29.644
Brazil,BRA,1983,30.969
Brazil,BRA,1984,46.19
Brazil,BRA,1985,38.154
Brazil,BRA,1986,2.594
Brazil,BRA,1987,12.172
Brazil,BRA,1988,35.839
Brazil,BRA,1989,19.118
Brazil,BRA,1990,76.097
Brazil,BRA,1991,31.838
Brazil,BRA,1992,17.384
Brazil,BRA,1993,32.028
Brazil,BRA,1994,26.096
Brazil,BRA,1995,41.157
Brazil,BRA,1996,39.206
Brazil,BRA,1997,37.67
Brazil,BRA,1998,33.854
Brazil,BRA,1999,8.823
Brazil,BRA,2000,24.598
Brazil,BRA,2001,-84.203
Brazil,BRA,2002,55.299
Brazil,BRA,2003,47.397
Brazil,BRA,2004,40.105
Brazil,BRA,2005,43.569
Brazil,BRA,2006,32.774
Brazil,BRA,2007,96.498
Brazil,BRA,2008,27.613
Brazil,BRA,2009,68.867
Brazil,BRA,2010,65.692
Brazil,BRA,2011,49.117
Brazil,BRA,2012,-34.168
Brazil,BRA,2013,-28.626
Brazil,BRA,2014,-4.361
Brazil,BRA,2015,22.625
Brazil,BRA,2016,62.661
Brazil,BRA,2017,5.565
Brazil,BRA,2018,96.675
Brazil,BRA,2019,76.057
Bulgaria,BGR,1966,0.028
Bulgaria,BGR,1967,0.033
Bulgaria,BGR,1968,-1.992
Bulgaria,BGR,1969,1.483
Bulgaria,BGR,1970,0.869
Bulgaria,BGR,1971,0.05
Bulgaria,BGR,1972,-0.208
Bulgaria,BGR,1973,1.319
Bulgaria,BGR,1974,1.217
Bulgaria,BGR,1975,5.553
Bulgaria,BGR,1976,8.156
Bulgaria,BGR,1977,4.083
Bulgaria,BGR,1978,-1.65
Bulgaria,BGR,1979,1.867
Bulgaria,BGR,1980,1.075
Bulgaria,BGR,1981,7.942
Bulgaria,BGR,1982,2.942
Bulgaria,BGR,1983,5.208
Bulgaria,BGR,1984,0.9
Bulgaria,BGR,1985,-1.742
Bulgaria,BGR,1986,-2.7
Bulgaria,BGR,1987,1.603
Bulgaria,BGR,1988,10.147
Bulgaria,BGR,1989,-3.803
Bulgaria,BGR,1990,-1.983
Bulgaria,BGR,1991,-2.55
Bulgaria,BGR,1992,-5.583
Bulgaria,BGR,1993,6.389
Bulgaria,BGR,1994,2.467
Bulgaria,BGR,1995,7.7
Bulgaria,BGR,1996,3.961
Bulgaria,BGR,1997,-1.378
Bulgaria,BGR,1998,-1.414
Bulgaria,BGR,1999,-3.969
Bulgaria,BGR,2000,6.344
Bulgaria,BGR,2001,0.835
Bulgaria,BGR,2002,2.708
Bulgaria,BGR,2003,-6.134
Bulgaria,BGR,2004,-1.232
Bulgaria,BGR,2005,7.757
Bulgaria,BGR,2006,1.632
Bulgaria,BGR,2007,-16.831
Bulgaria,BGR,2008,2.78
Bulgaria,BGR,2009,0.343
Bulgaria,BGR,2010,5.074
Bulgaria,BGR,2011,-2.377
Bulgaria,BGR,2012,1.905
Bulgaria,BGR,2013,-0.364
Bulgaria,BGR,2014,5.167
Bulgaria,BGR,2015,1.899
Bulgaria,BGR,2016,-3.537
Bulgaria,BGR,2017,-3.353
Bulgaria,BGR,2018,8.999
Bulgaria,BGR,2019,-3.061
Canada,CAN,1966,35.989
Canada,CAN,1967,8.069
Canada,CAN,1968,8.447
Canada,CAN,1969,39.025
Canada,CAN,1970,22.242
Canada,CAN,1971,20.983
Canada,CAN,1972,61.45
Canada,CAN,1973,58.494
Canada,CAN,1974,42.931
Canada,CAN,1975,-28.675
Canada,CAN,1976,43.811
Canada,CAN,1977,46.517
Canada,CAN,1978,55.639
Canada,CAN,1979,36.525
Canada,CAN,1980,27.064
Canada,CAN,1981,48.611
Canada,CAN,1982,-26.969
Canada,CAN,1983,51.044
Canada,CAN,1984,66.731
Canada,CAN,1985,69.928
Canada,CAN,1986,49.789
Canada,CAN,1987,33.367
Canada,CAN,1988,-8.311
Canada,CAN,1989,-54.287
Canada,CAN,1990,-3.182
Canada,CAN,1991,65.282
Canada,CAN,1992,11.45
Canada,CAN,1993,57.37
Canada,CAN,1994,56.549
Canada,CAN,1995,-6.414
Canada,CAN,1996,44.128
Canada,CAN,1997,-42.886
Canada,CAN,1998,-77.638
Canada,CAN,1999,44.937
Canada,CAN,2000,30.978
Canada,CAN,2001,-64.61
Canada,CAN,2002,39.298
Canada,CAN,2003,-46.075
Canada,CAN,2004,42.182
Canada,CAN,2005,60.158
Canada,CAN,2006,-9.447
Canada,CAN,2007,22.324
Canada,CAN,2008,26.572
Canada,CAN,2009,-35.117
Canada,CAN,2010,-41.662
Canada,CAN,2011,73.204
Canada,CAN,2012,15.394
Canada,CAN,2013,47.29
Canada,CAN,2014,-18.074
Canada,CAN,2015,15.412
Canada,CAN,2016,14.01
Canada,CAN,2017,16.4
Canada,CAN,2018,-27.095
Canada,CAN,2019,-7.458
Chile,CHL,1966,0.594
Chile,CHL,1967,0.242
Chile,CHL,1968,-1.917
Chile,CHL,1969,1.275
Chile,CHL,1970,0.786
Chile,CHL,1971,1.578
Chile,CHL,1972,2.533
Chile,CHL,1973,-0.392
Chile,CHL,1974,2.122
Chile,CHL,1975,0.081
Chile,CHL,1976,0.647
Chile,CHL,1977,1.047
Chile,CHL,1978,0.814
Chile,CHL,1979,0.556
Chile,CHL,1980,1.206
Chile,CHL,1981,0.789
Chile,CHL,1982,2.197
Chile,CHL,1983,2.139
Chile,CHL,1984,0.986
Chile,CHL,1985,3.025
Chile,CHL,1986,2.347
Chile,CHL,1987,2.733
Chile,CHL,1988,-0.581
Chile,CHL,1989,-5.614
Chile,CHL,1990,-2.665
Chile,CHL,1991,11.845
Chile,CHL,1992,11.985
Chile,CHL,1993,1.345
Chile,CHL,1994,-0.544
Chile,CHL,1995,4.226
Chile,CHL,1996,-4.67
Chile,CHL,1997,5.763
Chile,CHL,1998,-9.966
Chile,CHL,1999,-5.753
Chile,CHL,2000,15.081
Chile,CHL,2001,7.673
Chile,CHL,2002,3.985
Chile,CHL,2003,-2.264
Chile,CHL,2004,-3.94
Chile,CHL,2005,11.353
Chile,CHL,2006,5.633
Chile,CHL,2007,-12.743
Chile,CHL,2008,7.111
Chile,CHL,2009,1.533
Chile,CHL,2010,-8.681
Chile,CHL,2011,-1.274
Chile,CHL,2012,3.19
Chile,CHL,2013,1.639
Chile,CHL,2014,6.151
Chile,CHL,2015,6.442
Chile,CHL,2016,-3.626
Chile,CHL,2017,11.739
Chile,CHL,2018,11.732
Chile,CHL,2019,2.63
China,CHN,1966,1.08
China,CHN,1967,-8.618
China,CHN,1968,9.686
China,CHN,1969,1.08
China,CHN,1970,2.161
China,CHN,1971,13.995
China,CHN,1972,10.766
China,CHN,1973,10.766
China,CHN,1974,13.467
China,CHN,1975,5.377
China,CHN,1976,1.62
China,CHN,1977,5.389
China,CHN,1978,-8.078
China,CHN,1979,14.805
China,CHN,1980,26.848
China,CHN,1981,20.256
China,CHN,1982,24.724
China,CHN,1983,33.342
China,CHN,1984,1.105
China,CHN,1985,15.48
China,CHN,1986,6.003
China,CHN,1987,15.21
China,CHN,1988,25.399
China,CHN,1989,25.669
China,CHN,1990,23.342
China,CHN,1991,-5.689
China,CHN,1992,17.137
China,CHN,1993,63.472
China,CHN,1994,81.252
China,CHN,1995,66.712
China,CHN,1996,-8.628
China,CHN,1997,26.07
China,CHN,1998,6.974
China,CHN,1999,-3.611
China,CHN,2000,77.101
China,CHN,2001,149.981
China,CHN,2002,45.32
China,CHN,2003,33.998
China,CHN,2004,207.388
China,CHN,2005,129.117
China,CHN,2006,112.33
China,CHN,2007,157.483
China,CHN,2008,443.897
China,CHN,2009,-7.955
China,CHN,2010,318.616
China,CHN,2011,37.357
China,CHN,2012,551.795
China,CHN,2013,260.791
China,CHN,2014,544.467
China,CHN,2015,324.143
China,CHN,2016,410.023
China,CHN,2017,423.035
China,CHN,2018,510.58
China,CHN,2019,523.028
Colombia,COL,1966,1.092
Colombia,COL,1967,1.256
Colombia,COL,1968,1.394
Colombia,COL,1969,1.519
Colombia,COL,1970,1.708
Colombia,COL,1971,1.03
Colombia,COL,1972,1.921
Colombia,COL,1973,1.745
Colombia,COL,1974,2.913
Colombia,COL,1975,3.137
Colombia,COL,1976,1.409
Colombia,COL,1977,0.598
Colombia,COL,1978,4.538
Colombia,COL,1979,3.327
Colombia,COL,1980,3.33
Colombia,COL,1981,-0.546
Colombia,COL,1982,2.756
Colombia,COL,1983,0.362
Colombia,COL,1984,4.987
Colombia,COL,1985,3.646
Colombia,COL,1986,8.031
Colombia,COL,1987,5.324
Colombia,COL,1988,3.55
Colombia,COL,1989,6.285
Colombia,COL,1990,1.983
Colombia,COL,1991,0.626
Colombia,COL,1992,-14.929
Colombia,COL,1993,15.624
Colombia,COL,1994,11.825
Colombia,COL,1995,-0.1
Colombia,COL,1996,9.215
Colombia,COL,1997,-10.625
Colombia,COL,1998,-1.792
Colombia,COL,1999,7.9
Colombia,COL,2000,-7.9
Colombia,COL,2001,1.692
Colombia,COL,2002,5.823
Colombia,COL,2003,5.426
Colombia,COL,2004,5.263
Colombia,COL,2005,1.833
Colombia,COL,2006,8.371
Colombia,COL,2007,3.699
Colombia,COL,2008,4.383
Colombia,COL,2009,-13.369
Colombia,COL,2010,-1.067
Colombia,COL,2011,20.505
Colombia,COL,2012,-2.666
Colombia,COL,2013,-9.315
Colombia,COL,2014,1.278
Colombia,COL,2015,-0.598
Colombia,COL,2016,4.959
Colombia,COL,2017,25.527
Colombia,COL,2018,-2.112
Colombia,COL,2019,-13.06
Croatia,HRV,1991,5.767
Croatia,HRV,1992,-4.239
Croatia,HRV,1993,0.594
Croatia,HRV,1994,2.422
Croatia,HRV,1995,0.686
Croatia,HRV,1996,6.069
Croatia,HRV,1997,-5.606
Croatia,HRV,1998,0.478
Croatia,HRV,1999,3.617
Croatia,HRV,2000,-2.431
Croatia,HRV,2001,1.89
Croatia,HRV,2002,-3.775
Croatia,HRV,2003,-1.174
Croatia,HRV,2004,5.793
Croatia,HRV,2005,-1.672
Croatia,HRV,2006,-1.223
Croatia,HRV,2007,-5.171
Croatia,HRV,2008,2.825
Croatia,HRV,2009,4.223
Croatia,HRV,2010,4.599
Croatia,HRV,2011,-10.537
Croatia,HRV,2012,-0.153
Croatia,HRV,2013,10.193
Croatia,HRV,2014,1.542
Croatia,HRV,2015,-6.29
Croatia,HRV,2016,2.035
Croatia,HRV,2017,-3.244
Croatia,HRV,2018,6.521
Croatia,HRV,2019,-3.967
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.002
Cyprus,CYP,2005,0
Cyprus,CYP,2006,0.002
Cyprus,CYP,2007,0.005
Cyprus,CYP,2008,0.031
Cyprus,CYP,2009,0.042
Cyprus,CYP,2010,0.108
Cyprus,CYP,2011,0.271
Cyprus,CYP,2012,0.201
Cyprus,CYP,2013,0.175
Cyprus,CYP,2014,-0.028
Cyprus,CYP,2015,0.202
Cyprus,CYP,2016,0.057
Cyprus,CYP,2017,0.02
Cyprus,CYP,2018,0.065
Cyprus,CYP,2019,0.119
Czechia,CZE,1966,-0.356
Czechia,CZE,1967,-0.577
Czechia,CZE,1968,-1.191
Czechia,CZE,1969,-0.749
Czechia,CZE,1970,1.424
Czechia,CZE,1971,-1.395
Czechia,CZE,1972,0.156
Czechia,CZE,1973,-0.508
Czechia,CZE,1974,2.05
Czechia,CZE,1975,-0.014
Czechia,CZE,1976,-1.022
Czechia,CZE,1977,1.447
Czechia,CZE,1978,-0.381
Czechia,CZE,1979,1.286
Czechia,CZE,1980,0.294
Czechia,CZE,1981,-0.939
Czechia,CZE,1982,-1.086
Czechia,CZE,1983,0.514
Czechia,CZE,1984,1.894
Czechia,CZE,1985,4.253
Czechia,CZE,1986,10.992
Czechia,CZE,1987,14.281
Czechia,CZE,1988,2.081
Czechia,CZE,1989,0.406
Czechia,CZE,1990,-0.875
Czechia,CZE,1991,-1.458
